MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 4
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 5000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
WORKER-2:	Start measurement.
WORKER-3:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 5000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
WORKER-1:	1702899741980,	1702899742030,	1702899742081,	undefined,	undefined,	50,	51,	50,	51,	1702899742089,	8,	109,	59
WORKER-2:	1702899741980,	1702899742030,	1702899742081,	undefined,	undefined,	50,	51,	50,	51,	1702899742089,	8,	109,	59
MASTER-0:	1702899742563,	1702899742613,	1702899742664,	undefined,	undefined,	50,	51,	50,	51,	1702899742668,	4,	105,	55
WORKER-3:	1702899741410,	1702899741458,	1702899741509,	undefined,	undefined,	48,	49,	50,	51,	1702899741513,	4,	103,	53
WORKER-2:	1702899742089,	1702899742140,	1702899742191,	undefined,	undefined,	51,	52,	50,	51,	1702899742196,	5,	107,	57
MASTER-0:	1702899742668,	1702899742719,	1702899742770,	undefined,	undefined,	51,	52,	50,	51,	1702899742774,	4,	106,	56
WORKER-3:	1702899741513,	1702899741562,	1702899741612,	undefined,	undefined,	49,	49,	50,	50,	1702899741616,	4,	103,	53
WORKER-2:	1702899742196,	1702899742245,	1702899742296,	undefined,	undefined,	49,	50,	50,	51,	1702899742300,	4,	104,	54
WORKER-1:	1702899742089,	1702899742140,	1702899742191,	undefined,	undefined,	51,	52,	50,	51,	1702899742195,	4,	106,	56
MASTER-0:	1702899742774,	1702899742824,	1702899742875,	undefined,	undefined,	50,	51,	50,	51,	1702899742879,	4,	105,	55
WORKER-3:	1702899741616,	1702899741665,	1702899741716,	undefined,	undefined,	49,	50,	50,	51,	1702899741719,	3,	103,	53
WORKER-2:	1702899742300,	1702899742350,	1702899742401,	undefined,	undefined,	50,	51,	50,	51,	1702899742405,	4,	105,	55
WORKER-1:	1702899742195,	1702899742245,	1702899742296,	undefined,	undefined,	50,	51,	50,	51,	1702899742300,	4,	105,	55
MASTER-0:	1702899742879,	1702899742930,	1702899742981,	undefined,	undefined,	51,	52,	50,	51,	1702899742986,	5,	107,	57
WORKER-3:	1702899741719,	1702899741769,	1702899741819,	undefined,	undefined,	50,	50,	50,	50,	1702899741823,	4,	104,	54
WORKER-2:	1702899742405,	1702899742456,	1702899742507,	undefined,	undefined,	51,	52,	50,	51,	1702899742511,	4,	106,	56
WORKER-1:	1702899742300,	1702899742351,	1702899742401,	undefined,	undefined,	51,	51,	50,	50,	1702899742405,	4,	105,	55
MASTER-0:	1702899742986,	1702899743036,	1702899743086,	undefined,	undefined,	50,	50,	50,	50,	1702899743090,	4,	104,	54
WORKER-3:	1702899741823,	1702899741873,	1702899741924,	undefined,	undefined,	50,	51,	50,	51,	1702899741928,	4,	105,	55
WORKER-2:	1702899742511,	1702899742561,	1702899742612,	undefined,	undefined,	50,	51,	50,	51,	1702899742616,	4,	105,	55
WORKER-1:	1702899742405,	1702899742456,	1702899742507,	undefined,	undefined,	51,	52,	50,	51,	1702899742510,	3,	105,	55
MASTER-0:	1702899743090,	1702899743140,	1702899743191,	undefined,	undefined,	50,	51,	50,	51,	1702899743194,	3,	104,	54
WORKER-3:	1702899741928,	1702899741977,	1702899742028,	undefined,	undefined,	49,	50,	50,	51,	1702899742032,	4,	104,	54
WORKER-2:	1702899742616,	1702899742666,	1702899742717,	undefined,	undefined,	50,	51,	50,	51,	1702899742722,	5,	106,	56
WORKER-1:	1702899742510,	1702899742561,	1702899742612,	undefined,	undefined,	51,	52,	50,	51,	1702899742615,	3,	105,	55
MASTER-0:	1702899743194,	1702899743245,	1702899743296,	undefined,	undefined,	51,	52,	50,	51,	1702899743299,	3,	105,	55
WORKER-2:	1702899742722,	1702899742772,	1702899742823,	undefined,	undefined,	50,	51,	50,	51,	1702899742826,	3,	104,	54
WORKER-1:	1702899742615,	1702899742666,	1702899742717,	undefined,	undefined,	51,	52,	50,	51,	1702899742722,	5,	107,	57
