MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 8
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 20000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
WORKER-2:	Start measurement.
WORKER-3:	Start measurement.
WORKER-4:	Start measurement.
WORKER-6:	Start measurement.
WORKER-5:	Start measurement.
WORKER-7:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 20000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
WORKER-4:	1697039111470,	1697039111556,	1697039111609,	undefined,	undefined,	86,	89,	50,	53,	1697039111623,	14,	153,	103
WORKER-6:	1697039113531,	1697039113620,	1697039113673,	undefined,	undefined,	89,	92,	50,	53,	1697039113686,	13,	155,	105
MASTER-0:	1697039111106,	1697039111326,	1697039111379,	undefined,	undefined,	220,	223,	50,	53,	1697039111409,	30,	303,	253
WORKER-3:	1697039112824,	1697039112921,	1697039112974,	undefined,	undefined,	97,	100,	50,	53,	1697039112985,	11,	161,	111
WORKER-4:	1697039111623,	1697039111685,	1697039111743,	undefined,	undefined,	62,	70,	50,	58,	1697039111756,	13,	133,	83
WORKER-7:	1697039111986,	1697039112094,	1697039112147,	undefined,	undefined,	108,	111,	50,	53,	1697039112160,	13,	174,	124
WORKER-6:	1697039113686,	1697039113792,	1697039113845,	undefined,	undefined,	106,	109,	50,	53,	1697039113856,	11,	170,	120
WORKER-3:	1697039112985,	1697039113094,	1697039113147,	undefined,	undefined,	109,	112,	50,	53,	1697039113158,	11,	173,	123
WORKER-4:	1697039111756,	1697039111863,	1697039111916,	undefined,	undefined,	107,	109,	51,	53,	1697039111930,	14,	174,	123
MASTER-0:	1697039111409,	1697039111459,	1697039111512,	undefined,	undefined,	50,	53,	50,	53,	1697039111526,	14,	117,	67
WORKER-7:	1697039112160,	1697039112231,	1697039112284,	undefined,	undefined,	71,	74,	50,	53,	1697039112296,	12,	136,	86
WORKER-6:	1697039113856,	1697039113936,	1697039113989,	undefined,	undefined,	80,	83,	50,	53,	1697039114000,	11,	144,	94
WORKER-4:	1697039111930,	1697039112036,	1697039112089,	undefined,	undefined,	106,	109,	50,	53,	1697039112102,	13,	172,	122
MASTER-0:	1697039111526,	1697039111624,	1697039111677,	undefined,	undefined,	98,	101,	50,	53,	1697039111690,	13,	164,	114
WORKER-3:	1697039113158,	1697039113225,	1697039113278,	undefined,	undefined,	67,	70,	50,	53,	1697039113289,	11,	131,	81
WORKER-7:	1697039112296,	1697039112387,	1697039112439,	undefined,	undefined,	91,	93,	50,	52,	1697039112452,	13,	156,	106
WORKER-6:	1697039114000,	1697039114085,	1697039114138,	undefined,	undefined,	85,	87,	51,	53,	1697039114148,	10,	148,	97
WORKER-4:	1697039112102,	1697039112164,	1697039112217,	undefined,	undefined,	62,	64,	51,	53,	1697039112228,	11,	126,	75
WORKER-3:	1697039113289,	1697039113386,	1697039113439,	undefined,	undefined,	97,	100,	50,	53,	1697039113452,	13,	163,	113
MASTER-0:	1697039111690,	1697039111802,	1697039111855,	undefined,	undefined,	112,	114,	51,	53,	1697039111867,	12,	177,	126
WORKER-7:	1697039112452,	1697039112560,	1697039112613,	undefined,	undefined,	108,	111,	50,	53,	1697039112624,	11,	172,	122
WORKER-1:	1697039111163,	1697039111345,	1697039111398,	undefined,	undefined,	182,	186,	49,	53,	1697039111427,	29,	264,	215
WORKER-6:	1697039114148,	1697039114229,	1697039114282,	undefined,	undefined,	81,	84,	50,	53,	1697039114292,	10,	144,	94
WORKER-4:	1697039112229,	1697039112328,	1697039112381,	undefined,	undefined,	99,	101,	51,	53,	1697039112394,	13,	165,	114
MASTER-0:	1697039111867,	1697039111978,	1697039112032,	undefined,	undefined,	111,	114,	51,	54,	1697039112045,	13,	178,	127
WORKER-7:	1697039112624,	1697039112702,	1697039112754,	undefined,	undefined,	78,	81,	49,	52,	1697039112765,	11,	141,	92
WORKER-3:	1697039113452,	1697039113559,	1697039113612,	undefined,	undefined,	107,	110,	50,	53,	1697039113622,	10,	170,	120
WORKER-1:	1697039111427,	1697039111501,	1697039111554,	undefined,	undefined,	74,	77,	50,	53,	1697039111568,	14,	141,	91
WORKER-6:	1697039114292,	1697039114377,	1697039114429,	undefined,	undefined,	85,	87,	50,	52,	1697039114442,	13,	150,	100
